disbursed,via,cur,amount,value,recipient,purpose
2007-06-06,direct,USD,"10,000","$10,000",Lifeboat Foundation,Donation
2007-10-21,direct,USD,300,$300,Lifeboat Foundation,Naval fund donation
2008-06-02,direct,USD,300,$300,Lifeboat Foundation,Donation
2009-03-17,direct,USD,"5,000","$5,000",Singularity Institute for Artificial Intelligence,Donation
2010-07-27,direct,EEK,"120,500","$10,000",Singularity Institute for Artificial Intelligence,Donation
2011-02-15,direct,USD,"100,000","$100,000",Singularity Institute for Artificial Intelligence,Donation
2011-11-07,direct,USD,"50,000","$50,000",Singularity Institute for Artificial Intelligence,Donation
2011-12-30,direct,USD,"50,000","$50,000",Singularity Institute for Artificial Intelligence,Donation
2012-01-12,direct,USD,"10,000","$10,000",Geoffrey Anders,Donation to Leverage Research
2012-03-20,direct,USD,"10,000","$10,000",Leverage Research,Donation
2012-03-30,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2012-06-19,direct,USD,"10,000","$10,000",Leverage Research,Donation
2012-07-23,direct,USD,"10,000","$10,000",Leverage Research,Donation
2012-08-02,direct,USD,"108,000","$108,000",Singularity Institute for Artificial Intelligence,Donation
2012-09-06,direct,USD,"5,000","$5,000","80,000 Hours",Donation
2012-09-25,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2012-10-26,direct,USD,"29,000","$29,000",Leverage Research,Donation
2012-11-12,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2012-12-27,direct,USD,"31,000","$31,000",Institute for Philosophical Research,Donation
2013-01-18,direct,USD,"5,000","$5,000",Blue Marble Space,Donation
2013-02-18,direct,GBP,"3,232","$5,000",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2013-03-25,direct,USD,"25,000","$25,000",Institute for Philosophical Research,Donation
2013-05-10,direct,GBP,"3,250","$5,001",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2013-08-19,direct,GBP,"65,000","$101,671",University of Cambridge – Gift Registry,CSER donation according to the donation agreement of august 15 2013
2013-09-04,direct,GBP,"3,210","$5,008",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2013-09-20,direct,USD,"25,000","$25,000",Leverage Research,Donation
2013-09-24,direct,USD,"100,000","$100,000",Machine Intelligence Research Institute,Donation
2013-10-01,direct,USD,"15,000","$15,000","80,000 Hours",Donation
2013-10-18,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2013-11-13,direct,USD,"25,000","$25,000",Leverage Research,Donation
2013-12-04,direct,GBP,"3,060","$5,008",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy (usd 5000)"
2013-12-27,direct,USD,"25,000","$25,000",Leverage Research,Donation
2013-12-30,direct,USD,"5,000","$5,000","80,000 Hours",Donation
2014-03-04,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2014-03-04,direct,GBP,"15,000","$25,019",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2014-03-14,direct,GBP,"3,100","$5,151","80,000 Hours",Donation
2014-03-27,direct,USD,"25,000","$25,000",Leverage Research,Donation
2014-06-09,Solenum,GBP,"15,000","$25,214",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($5000)"
2014-06-10,direct,USD,"25,000","$25,000",Leverage Research,Donation
2014-07-22,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2014-07-29,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2014-08-15,Solenum,GBP,"32,000","$53,407",University of Cambridge – Gift Registry,CSER donation according to the donation agreement of august 15 2013
2014-08-18,direct,USD,"100,000","$100,000",Machine Intelligence Research Institute,Donation
2014-09-08,direct,USD,"39,000","$39,000",Foundational Questions Institute,Donation (essay contest prize money)
2014-09-09,Solenum,GBP,"15,000","$24,163",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy"
2014-09-11,direct,USD,"25,000","$25,000",Leverage Research,Donation
2014-10-03,direct,GBP,"12,500","$20,070",Centre for Effective Altruism,Donation
2014-11-20,Solenum,GBP,251,$394,TEDx,General support
2014-11-20,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2014-11-24,Solenum,EUR,"4,887","$6,063",TEDx,General support
2014-12-12,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2014-12-22,Solenum,EUR,"1,454","$1,781",Solenum (costs),M&G
2014-12-22,Solenum,GBP,"32,000","$50,031",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($50000)"
2014-12-30,direct,GBP,"6,500","$10,099","80,000 Hours",Donation (10 000 usd)
2015-01-16,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2015-03-31,Solenum,GBP,"26,140","$38,721",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy (£16k + $15k)"
2015-03-31,direct,USD,"10,000","$10,000",Leverage Research,Donation
2015-05-11,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2015-07-03,direct,USD,"6,333","$6,333",Centre for Effective Altruism USA,Ccoop donation
2015-07-03,direct,USD,"25,000","$25,000",Leverage Research,Donation
2015-07-10,Solenum,GBP,"6,400","$9,895",Centre for Effective Altruism,Donation
2015-07-10,Solenum,GBP,"16,000","$24,737",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
2015-08-12,Solenum,GBP,"32,000","$49,918",University of Cambridge – Gift Registry,CSER donation according to the donation agreement of august 15 2013
2015-08-12,direct,USD,"50,000","$50,000",Machine Intelligence Research Institute,Donation
2015-09-03,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2015-09-10,direct,USD,"25,000","$25,000",Leverage Research,Donation
2015-09-10,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2015-10-02,direct,USD,"25,000","$25,000",Future of Life Institute,Donation
2015-10-15,direct,GBP,"6,500","$10,052",Centre for Effective Altruism,Donation
2015-10-15,direct,USD,"5,000","$5,000",Machine Intelligence Research Institute,Donation to AI Impacts
2015-11-11,Metaplanet,EUR,"50,000","$53,702",Tartu Ülikooli Sihtasutus,Annetus Tartu Ülikooli Teaduskooli Fondi (sending science olympiad winners to CFAR)
2015-11-23,Solenum,GBP,"16,400","$24,863",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
2015-11-29,Solenum,EUR,"6,766","$7,175",TEDx,General support
2015-12-01,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2015-12-08,Solenum,EUR,"4,018","$4,366",Solenum (costs),M&G
2015-12-30,direct,USD,"25,000","$25,000",Leverage Research,Donation
2015-12-31,direct,USD,"25,000","$25,000",Leverage Research,Donation
2016-01-05,Solenum,GBP,"3,400","$4,993",Centre for Effective Altruism,Donation to Effective Altruism Outreach
2016-01-12,Solenum,GBP,"10,000","$14,462",Centre for Effective Altruism,Donation to Global Priorities Project
2016-03-09,Solenum,GBP,"17,600","$25,012",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
2016-03-10,direct,USD,"50,000","$50,000",Future of Life Institute,Donation
2016-03-10,direct,USD,"25,000","$25,000",Leverage Research,Donation
2016-03-10,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2016-03-10,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2016-05-02,direct,USD,"5,000","$5,000",Bulletin of the Atomic Scientists,Donation
2016-05-02,direct,USD,"5,000","$5,000",University of Louisville Foundation,Donation to computer engineering and computer science department (roman yampolskiy)
2016-05-23,Solenum,GBP,"6,800","$9,858",Centre for Effective Altruism,"Donation to 80,000 Hours"
2016-06-09,direct,USD,"25,000","$25,000",Machine Intelligence Research Institute,Donation
2016-06-09,direct,USD,"5,000","$5,000",Social and Environmental Entrepreneurs,Donation to Global Catastrophic Risks Institute
2016-07-05,Solenum,GBP,"18,500","$24,331",University of Oxford Development Trust,"Donation to Future of Humanity Institute, Faculty of Philosophy ($25k)"
